Common.Name,Scientific.Name
Canada Goose,Branta canadensis
goose sp.,Anatidae (goose sp.)
Mallard,Anas platyrhynchos
Eurasian/Green-winged Teal,Anas crecca
Feral Pigeon,Columba livia (Feral Pigeon)
Stock Dove,Columba oenas
Common Woodpigeon,Columba palumbus
Collared Dove,Streptopelia decaocto
Common Swift,Apus apus
Common Moorhen,Gallinula chloropus
Black-headed Gull,Chroicocephalus ridibundus
Common Gull,Larus canus
Herring Gull,Larus argentatus
Lesser Black-backed Gull,Larus fuscus
Great Cormorant,Phalacrocorax carbo
Eurasian Sparrowhawk,Accipiter nisus
Common Buzzard,Buteo buteo
Tawny Owl,Strix aluco
Great Spotted Woodpecker,Dendrocopos major
Ring-necked Parakeet,Psittacula krameri
Eurasian Jay,Garrulus glandarius
Common Magpie,Pica pica
Eurasian Jackdaw,Corvus monedula
Carrion Crow,Corvus corone
Coal Tit,Periparus ater
Eurasian Blue Tit,Cyanistes caeruleus
Great Tit,Parus major
Barn Swallow,Hirundo rustica
Common House Martin,Delichon urbicum
Willow Warbler,Phylloscopus trochilus
Common Chiffchaff,Phylloscopus collybita
Willow Warbler/Common Chiffchaff,Phylloscopus trochilus/collybita
Long-tailed Tit,Aegithalos caudatus
Eurasian Blackcap,Sylvia atricapilla
Common Whitethroat,Curruca communis
Goldcrest,Regulus regulus
Eurasian Nuthatch,Sitta europaea
Eurasian Treecreeper,Certhia familiaris
Eurasian Wren,Troglodytes troglodytes
Common Starling,Sturnus vulgaris
Mistle Thrush,Turdus viscivorus
Song Thrush,Turdus philomelos
Redwing,Turdus iliacus
Eurasian Blackbird,Turdus merula
European Robin,Erithacus rubecula
Dunnock,Prunella modularis
House Sparrow,Passer domesticus
Pied Wagtail,Motacilla alba yarrellii
Common Chaffinch,Fringilla coelebs
Eurasian Bullfinch,Pyrrhula pyrrhula
European Greenfinch,Chloris chloris
Lesser Redpoll,Acanthis cabaret
European Goldfinch,Carduelis carduelis
Eurasian Siskin,Spinus spinus
